"Plot Title: Deadwood_lvl"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 21367987, SEN S/N: 21367987)","Temp, °C (LGR S/N: 21367987, SEN S/N: 21367987)","Coupler Detached (LGR S/N: 21367987)","Coupler Attached (LGR S/N: 21367987)","Host Connected (LGR S/N: 21367987)","End Of File (LGR S/N: 21367987)"
1,01/28/25 01:00:00 PM,103.345,2.943,Logged,,,
2,01/28/25 01:15:00 PM,103.335,1.548,,,,
3,01/28/25 01:30:00 PM,103.319,1.548,,,,
4,01/28/25 01:45:00 PM,103.335,1.548,,,,
5,01/28/25 02:00:00 PM,103.321,1.656,,,,
6,01/28/25 02:15:00 PM,103.276,1.656,,,,
7,01/28/25 02:30:00 PM,103.278,1.764,,,,
8,01/28/25 02:45:00 PM,103.263,1.764,,,,
9,01/28/25 03:00:00 PM,103.263,1.764,,,,
10,01/28/25 03:15:00 PM,103.235,1.872,,,,
11,01/28/25 03:30:00 PM,103.250,1.872,,,,
12,01/28/25 03:45:00 PM,103.235,1.872,,,,
13,01/28/25 04:00:00 PM,103.235,1.872,,,,
14,01/28/25 04:15:00 PM,103.220,1.872,,,,
15,01/28/25 04:30:00 PM,103.250,1.872,,,,
16,01/28/25 04:45:00 PM,103.220,1.872,,,,
17,01/28/25 05:00:00 PM,103.222,1.980,,,,
18,01/28/25 05:15:00 PM,103.220,1.872,,,,
19,01/28/25 05:30:00 PM,103.205,1.872,,,,
20,01/28/25 05:45:00 PM,103.205,1.872,,,,
21,01/28/25 06:00:00 PM,103.205,1.872,,,,
22,01/28/25 06:15:00 PM,103.235,1.872,,,,
23,01/28/25 06:30:00 PM,103.265,1.872,,,,
24,01/28/25 06:45:00 PM,103.233,1.764,,,,
25,01/28/25 07:00:00 PM,103.233,1.764,,,,
26,01/28/25 07:15:00 PM,103.218,1.764,,,,
27,01/28/25 07:30:00 PM,103.218,1.764,,,,
28,01/28/25 07:45:00 PM,103.233,1.764,,,,
29,01/28/25 08:00:00 PM,103.203,1.764,,,,
30,01/28/25 08:15:00 PM,103.246,1.656,,,,
31,01/28/25 08:30:00 PM,103.246,1.656,,,,
32,01/28/25 08:45:00 PM,103.201,1.656,,,,
33,01/28/25 09:00:00 PM,103.201,1.656,,,,
34,01/28/25 09:15:00 PM,103.231,1.656,,,,
35,01/28/25 09:30:00 PM,103.216,1.656,,,,
36,01/28/25 09:45:00 PM,103.231,1.656,,,,
37,01/28/25 10:00:00 PM,103.216,1.656,,,,
38,01/28/25 10:15:00 PM,103.214,1.548,,,,
39,01/28/25 10:30:00 PM,103.244,1.548,,,,
40,01/28/25 10:45:00 PM,103.229,1.548,,,,
41,01/28/25 11:00:00 PM,103.214,1.548,,,,
42,01/28/25 11:15:00 PM,103.214,1.548,,,,
43,01/28/25 11:30:00 PM,103.214,1.548,,,,
44,01/28/25 11:45:00 PM,103.227,1.439,,,,
45,01/29/25 12:00:00 AM,103.212,1.439,,,,
46,01/29/25 12:15:00 AM,103.227,1.439,,,,
47,01/29/25 12:30:00 AM,103.212,1.439,,,,
48,01/29/25 12:45:00 AM,103.195,1.330,,,,
49,01/29/25 01:00:00 AM,103.210,1.330,,,,
50,01/29/25 01:15:00 AM,103.180,1.330,,,,
51,01/29/25 01:30:00 AM,103.149,1.330,,,,
52,01/29/25 01:45:00 AM,103.163,1.221,,,,
53,01/29/25 02:00:00 AM,103.178,1.221,,,,
54,01/29/25 02:15:00 AM,103.193,1.221,,,,
55,01/29/25 02:30:00 AM,103.178,1.221,,,,
56,01/29/25 02:45:00 AM,103.176,1.112,,,,
57,01/29/25 03:00:00 AM,103.191,1.112,,,,
58,01/29/25 03:15:00 AM,103.161,1.112,,,,
59,01/29/25 03:30:00 AM,103.146,1.112,,,,
60,01/29/25 03:45:00 AM,103.129,1.003,,,,
61,01/29/25 04:00:00 AM,103.113,1.003,,,,
62,01/29/25 04:15:00 AM,103.129,1.003,,,,
63,01/29/25 04:30:00 AM,103.129,1.003,,,,
64,01/29/25 04:45:00 AM,103.142,0.893,,,,
65,01/29/25 05:00:00 AM,103.142,0.893,,,,
66,01/29/25 05:15:00 AM,103.142,0.893,,,,
67,01/29/25 05:30:00 AM,103.157,0.893,,,,
68,01/29/25 05:45:00 AM,103.142,0.893,,,,
69,01/29/25 06:00:00 AM,103.125,0.784,,,,
70,01/29/25 06:15:00 AM,103.094,0.784,,,,
71,01/29/25 06:30:00 AM,103.079,0.784,,,,
72,01/29/25 06:45:00 AM,103.062,0.674,,,,
73,01/29/25 07:00:00 AM,103.108,0.674,,,,
74,01/29/25 07:15:00 AM,103.123,0.674,,,,
75,01/29/25 07:30:00 AM,103.108,0.674,,,,
76,01/29/25 07:45:00 AM,103.108,0.674,,,,
77,01/29/25 08:00:00 AM,103.091,0.563,,,,
78,01/29/25 08:15:00 AM,103.106,0.563,,,,
79,01/29/25 08:30:00 AM,103.121,0.563,,,,
80,01/29/25 08:45:00 AM,103.136,0.563,,,,
81,01/29/25 09:00:00 AM,103.136,0.563,,,,
82,01/29/25 09:15:00 AM,103.136,0.563,,,,
83,01/29/25 09:30:00 AM,103.136,0.563,,,,
84,01/29/25 09:45:00 AM,103.151,0.563,,,,
85,01/29/25 10:00:00 AM,103.136,0.563,,,,
86,01/29/25 10:15:00 AM,103.136,0.563,,,,
87,01/29/25 10:30:00 AM,103.136,0.563,,,,
88,01/29/25 10:45:00 AM,103.138,0.674,,,,
89,01/29/25 11:00:00 AM,103.123,0.674,,,,
90,01/29/25 11:15:00 AM,103.110,0.784,,,,
91,01/29/25 11:30:00 AM,103.079,0.784,,,,
92,01/29/25 11:45:00 AM,103.051,0.893,,,,
93,01/29/25 12:00:00 PM,103.023,1.003,,,,
94,01/29/25 12:15:00 PM,102.993,1.003,,,,
95,01/29/25 12:30:00 PM,102.997,1.221,,,,
96,01/29/25 12:45:00 PM,102.981,1.221,,,,
97,01/29/25 01:00:00 PM,102.968,1.330,,,,
98,01/29/25 01:15:00 PM,102.938,1.330,,,,
99,01/29/25 01:30:00 PM,102.910,1.439,,,,
100,01/29/25 01:45:00 PM,102.910,1.439,,,,
101,01/29/25 02:00:00 PM,102.912,1.548,,,,
102,01/29/25 02:15:00 PM,102.927,1.548,,,,
103,01/29/25 02:30:00 PM,102.942,1.548,,,,
104,01/29/25 02:45:00 PM,102.944,1.656,,,,
105,01/29/25 03:00:00 PM,102.959,1.656,,,,
106,01/29/25 03:15:00 PM,103.004,1.656,,,,
107,01/29/25 03:30:00 PM,103.004,1.656,,,,
108,01/29/25 03:45:00 PM,102.974,1.656,,,,
109,01/29/25 04:00:00 PM,103.006,1.764,,,,
110,01/29/25 04:15:00 PM,103.021,1.764,,,,
111,01/29/25 04:30:00 PM,103.006,1.764,,,,
112,01/29/25 04:45:00 PM,102.991,1.764,,,,
113,01/29/25 05:00:00 PM,102.991,1.764,,,,
114,01/29/25 05:15:00 PM,102.961,1.764,,,,
115,01/29/25 05:30:00 PM,102.961,1.764,,,,
116,01/29/25 05:45:00 PM,102.946,1.764,,,,
117,01/29/25 06:00:00 PM,102.991,1.764,,,,
118,01/29/25 06:15:00 PM,102.991,1.764,,,,
119,01/29/25 06:30:00 PM,102.946,1.764,,,,
120,01/29/25 06:45:00 PM,102.961,1.764,,,,
121,01/29/25 07:00:00 PM,102.976,1.764,,,,
122,01/29/25 07:15:00 PM,102.991,1.764,,,,
123,01/29/25 07:30:00 PM,103.008,1.872,,,,
124,01/29/25 07:45:00 PM,102.993,1.872,,,,
125,01/29/25 08:00:00 PM,103.023,1.872,,,,
126,01/29/25 08:15:00 PM,103.023,1.872,,,,
127,01/29/25 08:30:00 PM,103.008,1.872,,,,
128,01/29/25 08:45:00 PM,102.993,1.872,,,,
129,01/29/25 09:00:00 PM,102.978,1.872,,,,
130,01/29/25 09:15:00 PM,102.995,1.980,,,,
131,01/29/25 09:30:00 PM,102.995,1.980,,,,
132,01/29/25 09:45:00 PM,103.010,1.980,,,,
133,01/29/25 10:00:00 PM,102.995,1.980,,,,
134,01/29/25 10:15:00 PM,103.025,1.980,,,,
135,01/29/25 10:30:00 PM,103.025,1.980,,,,
136,01/29/25 10:45:00 PM,102.995,1.980,,,,
137,01/29/25 11:00:00 PM,103.010,1.980,,,,
138,01/29/25 11:15:00 PM,103.040,1.980,,,,
139,01/29/25 11:30:00 PM,103.025,1.980,,,,
140,01/29/25 11:45:00 PM,103.025,1.980,,,,
141,01/30/25 12:00:00 AM,103.025,1.980,,,,
142,01/30/25 12:15:00 AM,103.010,1.980,,,,
143,01/30/25 12:30:00 AM,103.010,1.980,,,,
144,01/30/25 12:45:00 AM,103.040,1.980,,,,
145,01/30/25 01:00:00 AM,103.010,1.980,,,,
146,01/30/25 01:15:00 AM,102.980,1.980,,,,
147,01/30/25 01:30:00 AM,102.980,1.980,,,,
148,01/30/25 01:45:00 AM,103.027,2.088,,,,
149,01/30/25 02:00:00 AM,103.027,2.088,,,,
150,01/30/25 02:15:00 AM,103.012,2.088,,,,
151,01/30/25 02:30:00 AM,102.997,2.088,,,,
152,01/30/25 02:45:00 AM,103.012,2.088,,,,
153,01/30/25 03:00:00 AM,103.012,2.088,,,,
154,01/30/25 03:15:00 AM,102.967,2.088,,,,
