Temp_C,X0,X0.1,X0.2,X0.3,X0.4,X0.5,X0.6,X0.7,X0.8,X0.9
0,0.6645,0.6667,0.6689,0.6711,0.6734,0.6756,0.6778,0.6801,0.6823,0.6846
1,0.6868,0.6891,0.6914,0.6937,0.6960,0.6983,0.7006,0.7029,0.7053,0.7076
2,0.7100,0.7123,0.7147,0.7171,0.7195,0.7219,0.7243,0.7267,0.7291,0.7316
3,0.7340,0.7365,0.7389,0.7414,0.7439,0.7464,0.7489,0.7514,0.7539,0.7564
4,0.7589,0.7615,0.7640,0.7666,0.7691,0.7717,0.7743,0.7769,0.7795,0.7821
5,0.7847,0.7873,0.7899,0.7926,0.7952,0.7979,0.8005,0.8032,0.8059,0.8086
6,0.8113,0.8140,0.8167,0.8194,0.8221,0.8249,0.8276,0.8304,0.8331,0.8359
7,0.8387,0.8415,0.8443,0.8471,0.8499,0.8527,0.8556,0.8584,0.8613,0.8641
8,0.8670,0.8699,0.8728,0.8757,0.8786,0.8815,0.8844,0.8873,0.8903,0.8932
9,0.8962,0.8992,0.9021,0.9051,0.9081,0.9111,0.9142,0.9172,0.9202,0.9233
10,0.9263,0.9294,0.9325,0.9356,0.9387,0.9418,0.9449,0.9480,0.9511,0.9543
11,0.9574,0.9606,0.9638,0.9669,0.9701,0.9733,0.9766,0.9798,0.9830,0.9863
12,0.9895,0.9928,0.9961,0.9994,1.0027,1.0060,1.0093,1.0127,1.0160,1.0194
13,1.0227,1.0261,1.0295,1.0329,1.0363,1.0397,1.0432,1.0466,1.0501,1.0535
14,1.0570,1.0605,1.0640,1.0675,1.0711,1.0746,1.0781,1.0817,1.0853,1.0889
15,1.0924,1.0961,1.0997,1.1033,1.1070,1.1106,1.1143,1.1180,1.1217,1.1254
16,1.1291,1.1328,1.1366,1.1403,1.1441,1.1479,1.1517,1.1555,1.1593,1.1631
17,1.1669,1.1708,1.1746,1.1785,1.1824,1.1863,1.1902,1.1941,1.1980,1.2020
18,1.2059,1.2099,1.2139,1.2179,1.2219,1.2259,1.2299,1.2339,1.2380,1.2421
19,1.2461,1.2502,1.2543,1.2584,1.2625,1.2667,1.2708,1.2750,1.2792,1.2833
20,1.2875,1.2918,1.2960,1.3002,1.3045,1.3088,1.3130,1.3173,1.3217,1.3260
21,1.3303,1.3347,1.3390,1.3434,1.3478,1.3522,1.3567,1.3611,1.3656,1.3700
22,1.3745,1.3790,1.3835,1.3880,1.3926,1.3971,1.4017,1.4063,1.4109,1.4155
23,1.4201,1.4247,1.4294,1.4341,1.4387,1.4434,1.4481,1.4529,1.4576,1.4624
24,1.4671,1.4719,1.4767,1.4815,1.4863,1.4912,1.4960,1.5009,1.5058,1.5107
25,1.5156,1.5205,1.5255,1.5304,1.5354,1.5404,1.5454,1.5504,1.5555,1.5605
26,1.5656,1.5706,1.5757,1.5809,1.5860,1.5911,1.5963,1.6015,1.6067,1.6119
27,1.6171,1.6224,1.6276,1.6329,1.6382,1.6435,1.6488,1.6542,1.6595,1.6649
28,1.6703,1.6757,1.6811,1.6866,1.6920,1.6975,1.7030,1.7085,1.7140,1.7196
29,1.7251,1.7307,1.7363,1.7419,1.7476,1.7532,1.7589,1.7646,1.7703,1.7760
30,1.7817,1.7875,1.7933,1.7991,1.8049,1.8107,1.8166,1.8224,1.8283,1.8342
31,1.8402,1.8461,1.8521,1.8580,1.8640,1.8700,1.8761,1.8821,1.8882,1.8943
32,1.9004,1.9065,1.9126,1.9188,1.9250,1.9312,1.9374,1.9436,1.9499,1.9562
33,1.9625,1.9688,1.9751,1.9815,1.9878,1.9942,2.0006,2.0071,2.0135,2.0200
34,2.0265,2.0330,2.0395,2.0461,2.0527,2.0593,2.0659,2.0725,2.0792,2.0859
35,2.0926,2.0993,2.1061,2.1129,2.1196,2.1265,2.1333,2.1402,2.1470,2.1539
36,2.1609,2.1678,2.1748,2.1818,2.1888,2.1958,2.2029,2.2100,2.2171,2.2242
37,2.2314,2.2386,2.2458,2.2530,2.2602,2.2675,2.2748,2.2821,2.2894,2.2968
38,2.3042,2.3116,2.3190,2.3265,2.3339,2.3414,2.3490,2.3565,2.3641,2.3717
39,2.3793,2.3870,2.3947,2.4024,2.4101,2.4179,2.4256,2.4334,2.4413,2.4491
40,2.4570,2.4649,2.4728,2.4807,2.4887,2.4967,2.5047,2.5127,2.5208,2.5289
